Season,Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
2010,"Brian Mazone","PHI","AAA",33,165,5.672727272727273,1.6363636363636365,3.46666667,1.0363636363636364,0.14964029,0.04316547,0.10647482,0.26323752,1.2363636363636363,0.28810409,0.67805954,3.8181818181818183,4.109527163072066,-0.29134534489024766,4.197175125371326,"sa209900"
2010,"Josh Muecke","COL","AAA",28,119.2,6.0919225234281935,3.233983561819905,1.88372093,0.9777159605502039,0.15083799,0.08007449,0.0707635,0.30674847,1.612813507574268,0.34683544,0.65072303,5.941504683343547,4.844446007398732,1.0970586759448153,4.790825360607896,"sa226123"
2012,"Bear Bay","SDP","AAA",28,116.2,5.631429062450218,2.16000018833707,2.60714286,0.9257143664301729,0.14484127,0.05555556,0.08928571,0.29511677,1.4314286962392488,0.32901554,0.67654639,4.628571832150865,4.602083075106881,0.02648875704398357,4.519196966510439,"sa226381"
2011,"Bear Bay","LAA","AAA",27,159.2,5.354906395446293,2.254697429661597,2.375,1.3528184577969582,0.13649425,0.05747126,0.07902299,0.31651376,1.5469729586844847,0.34205607,0.70102136,5.185804088221673,5.336559962636101,-0.15075587441442817,4.795957519455393,"sa226381"
2010,"Richard De Los Santos","TBR","AAA",26,148.1,5.460673782816767,2.912359350835609,1.875,0.3640449188544511,0.14376997,0.07667732,0.06709265,0.27017544,1.3617976594185024,0.31223629,0.72916667,3.519100882259694,3.699925498237607,-0.180824615977913,4.225213024052551,"sa244191"
2010,"Matt Yourkin","SFG","AAA",28,136,7.279411764705882,2.5808823529411766,2.82051282,0.9264705882352942,0.18932874,0.06712565,0.12220309,0.27137546,1.3602941176470589,0.31884058,0.7201889,4.235294117647059,4.251725107080796,-0.01643098943373733,4.711395598487819,"sa245874"
2011,"Matt Yourkin","SFG","AAA",29,167,7.81437125748503,3.0179640718562872,2.58928571,1.2934131736526946,0.19863014,0.07671233,0.12191781,0.27744807,1.4550898203592815,0.32277228,0.71155683,4.688622754491018,4.921048506434092,-0.23242575194307413,4.904125044142415,"sa245874"
2010,"Matt Zaleski","CHW","AAA",28,139.1,5.490430221161165,2.9712916490989834,1.84782609,1.4856458245494917,0.14285714,0.07731092,0.06554622,0.25602968,1.3205740662662147,0.26682135,0.69221261,5.167463737563449,5.386560500271534,-0.21909676270808465,4.695361638111999,"sa253571"
2012,"Matt Zaleski","CHW","AAA",30,129,5.372093023255814,3.558139534883721,1.50980392,0.8372093023255814,0.14102564,0.09340659,0.04761905,0.27010309,1.4108527131782946,0.30050505,0.77625571,3.697674418604651,4.595485194154488,-0.897810775549837,4.630376923650273,"sa253571"
2010,"Andrew Baldwin","SEA","AAA",27,117.2,6.654391510130065,2.830028573273706,2.35135135,0.9943343635826534,0.16477273,0.07007576,0.09469697,0.27868852,1.4702550846136668,0.31701031,0.61470215,4.89518455917614,4.559944654996376,0.33523990417976357,4.69036841945905,"sa253988"
