last_name, first_name,player_id,year,player_age,b_total_pa,b_k_percent,b_bb_percent,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,pitch_count,batted_ball,
Maldonado, Martin,455117,2021,34,426,29.8,11.0,.183,.312,.258,.267,.282,.129,88,17.6,30.8,14,5.7,33.2,97.340165902,4.740188648,1789,247,
Chirinos, Robinson,455139,2021,37,112,32.1,8.0,.189,.362,.336,.291,.292,.172,89.4,21.7,29,5,8.1,45.2,99.491048065,6.418525738,462,62,
Cain, Lorenzo,456715,2021,35,286,16.8,9.1,.254,.382,.319,.317,.327,.128,88.4,7.2,29,9,4.3,37.6,99.209885333,5.717624115,1134,210,
Solano, Donovan,456781,2021,33,344,16.9,7.3,.275,.432,.324,.335,.340,.158,88.3,11,39.8,19,7.5,36.6,98.208590709,5.239344229,1317,254,
McCutchen, Andrew,457705,2021,34,574,23.0,14.1,.240,.431,.335,.344,.352,.191,88.8,14.6,33.6,32,9,39.5,99.449259775,5.945349747,2308,357,
Upton, Justin,457708,2021,33,362,29.6,10.8,.226,.429,.305,.322,.311,.203,90.1,15.2,30.4,25,11.7,41.6,101.71394434,7.160523679,1520,214,
Turner, Justin,457759,2021,36,612,16.0,10.0,.270,.470,.358,.359,.358,.199,90.9,19.2,36.5,35,7.9,42.4,99.559758318,6.25153575,2465,441,
Posey III, Buster,457763,2021,34,454,19.2,12.3,.281,.469,.379,.361,.370,.188,88.5,8.7,38.4,25,8.1,39.4,98.703017161,5.540916742,1757,310,
Votto, Joey,458015,2021,37,533,23.8,14.4,.274,.592,.391,.406,.383,.318,92.9,18.2,44.3,56,17.2,53.2,102.539441104,8.093851969,2232,325,
Gardner, Brett,458731,2021,37,461,21.7,13.0,.219,.322,.305,.296,.326,.103,86.7,12.5,29.2,10,3.4,33.2,97.795042847,4.940441986,2096,298,
Andrus, Elvis,462101,2021,32,541,15.0,5.7,.273,.375,.270,.308,.324,.102,87.8,8.1,34,9,2.1,34.8,98.143821256,5.154317918,2053,423,
Ramos, Wilson,467092,2021,33,163,22.1,5.5,.236,.413,.275,.308,.283,.178,89.6,6.6,30.2,13,11.2,44,101.516048448,7.099649483,555,116,
Santana, Carlos,467793,2021,35,659,15.5,13.1,.244,.421,.294,.335,.345,.177,89.9,12.9,28,32,6.8,41.9,100.529242479,6.571698094,2706,468,
Parra, Gerardo,467827,2021,34,107,28.0,5.6,.213,.297,.282,.253,.271,.084,87.5,15.7,36.2,1,1.4,29,96.041061176,4.027092647,415,69,
Mercer, Jordy,474568,2021,34,127,26.8,7.1,.239,.351,.294,.284,.293,.113,86.7,13.2,42.9,3,3.6,33.3,97.957379048,5.077705714,540,84,
